CustDescr;Customer;City;valid to;valid from;Salesorg;Country
Rocky Mountain Bikes;1000;Denver;99991231;10000101;UW00;US
Big Apple Bikes;2000;New York City;99991231;10000101;UE00;US
Philly Bikes;3000;Philadelphia;99991231;10000101;UE00;US
Peachtree Bikes;4000;Atlanta;99991231;10000101;UE00;US
Beantown Bikes;5000;Boston;99991231;10000101;UE00;US
Windy City Bikes;6000;Chicago;20131231;10000101;UE00;US
Windy City Bikes;6000;Chicago;99991231;20140101;UW00;US
Furniture City Bikes;7000;Grand Rapids;99991231;10000101;UE00;US
Motown Bikes;8000;Detroit;99991231;10000101;UE00;US
SoCal Bikes;9000;Irvine;99991231;10000101;UW00;US
Silicon Valley Bikes;10000;Palo Alto;99991231;10000101;UW00;US
DC Bikes;11000;Washington DC;99991231;10000101;UE00;US
Northwest Bikes ;12000;Seattle;99991231;10000101;UW00;US
Drahtesel;18000;Leipzig;99991231;10000101;DN00;DE
Capital Bikes;16000;Berlin;99991231;10000101;DN00;DE
Ostseerad;21000;Anklam;99991231;10000101;DN00;DE
Alster Cycling;14000;Hamburg;99991231;10000101;DN00;DE
Red Light Bikes;23000;Hamburg;99991231;10000101;DN00;DE
Cruiser Bikes;17000;Hannover;99991231;10000101;DN00;DE
Velodrom;24000;Magdeburg;99991231;10000101;DN00;DE
Fahrpott;19000;Bochum;99991231;10000101;DN00;DE
Airport Bikes;13000;Frankfurt;99991231;10000101;DS00;DE
Neckarrad;20000;Heidelberg;99991231;10000101;DS00;DE
Rädlelland;22000;Stuttgart;99991231;10000101;DS00;DE
Bavaria Bikes;15000;München;99991231;10000101;DS00;DE